#time_s,time_m,time_e,pos,fwhm,slit1,slit2,slit3,slit4
2017-02-17T16:02:24,2017-02-17T16:02:54,2017-02-17T16:03:24,565.275,3.0183,525.38,559.39,581.39,614.06
2017-02-17T16:04:24,2017-02-17T16:08:54,2017-02-17T16:13:24,564.474,4.88378,525.38,559.39,581.39,614.06
2017-02-17T16:14:24,2017-02-17T16:19:24,2017-02-17T16:24:24,563.783,5.1603,525.38,559.39,581.39,614.06
2017-02-17T16:25:24,2017-02-17T16:29:24,2017-02-17T16:33:24,562.975,5.70198,525.38,559.39,581.39,614.06
2017-02-17T16:34:24,2017-02-17T16:36:54,2017-02-17T16:39:24,562.107,5.43731,525.38,559.39,581.39,614.06
2017-02-17T16:51:24,2017-02-17T16:52:24,2017-02-17T16:53:24,559.458,6.37253,525.38,559.39,581.39,614.06
2017-02-17T16:54:24,2017-02-17T16:56:54,2017-02-17T16:59:24,559.184,6.01337,525.38,559.39,581.39,614.06
2017-02-17T17:48:24,2017-02-17T17:49:24,2017-02-17T17:50:24,565.495,4.04581,525.38,559.39,581.39,614.06
2017-02-17T17:51:24,2017-02-17T17:55:54,2017-02-17T18:00:24,564.935,5.28503,525.38,559.39,581.39,614.06
2017-02-17T18:01:24,2017-02-17T18:05:24,2017-02-17T18:09:24,564.652,5.29085,525.38,559.39,581.39,614.06
2017-02-17T18:10:24,2017-02-17T18:15:24,2017-02-17T18:20:24,563.785,6.03562,525.38,559.39,581.39,614.06
2017-02-17T18:21:24,2017-02-17T18:25:24,2017-02-17T18:29:24,562.627,6.06762,525.38,559.39,581.39,614.06
2017-02-17T18:38:24,2017-02-17T18:38:54,2017-02-17T18:39:24,560.671,9.47361,525.38,559.39,581.39,614.06
2017-02-17T18:40:24,2017-02-17T18:42:54,2017-02-17T18:45:24,559.8,7.26966,525.38,559.39,581.39,614.06
2017-02-17T19:42:24,2017-02-17T19:44:24,2017-02-17T19:46:24,563.471,5.82245,525.38,559.39,581.39,614.06
2017-02-17T19:47:24,2017-02-17T19:51:54,2017-02-17T19:56:24,562.4,8.22499,525.38,559.39,581.39,614.06
2017-02-17T19:57:24,2017-02-17T20:01:24,2017-02-17T20:05:24,560.795,8.61674,525.38,559.39,581.39,614.06
2017-02-17T20:06:24,2017-02-17T20:11:24,2017-02-17T20:16:24,558.831,7.18122,525.38,559.39,581.39,614.06
2017-02-17T20:17:24,2017-02-17T20:21:54,2017-02-17T20:26:24,557.568,5.44333,525.38,559.39,581.39,614.06
2017-02-17T20:27:24,2017-02-17T20:29:24,2017-02-17T20:31:24,556.934,5.29181,525.38,559.39,581.39,614.06
2017-02-17T21:36:24,2017-02-17T21:38:54,2017-02-17T21:41:24,560.181,8.81823,525.38,559.39,581.39,614.06
2017-02-17T21:42:24,2017-02-17T21:47:24,2017-02-17T21:52:24,560.411,7.55354,525.38,559.39,581.39,614.06
2017-02-17T21:53:24,2017-02-17T21:57:54,2017-02-17T22:02:24,558.838,5.59882,525.38,559.39,581.39,614.06
2017-02-17T22:03:24,2017-02-17T22:07:54,2017-02-17T22:12:24,557.38,5.91757,525.38,559.39,581.39,614.06
2017-02-17T22:13:24,2017-02-17T22:15:24,2017-02-17T22:17:24,557.308,5.54786,525.38,559.39,581.39,614.06
2017-02-17T23:32:24,2017-02-17T23:35:24,2017-02-17T23:38:24,559.348,5.82689,525.38,559.39,581.39,614.06
2017-02-17T23:39:24,2017-02-17T23:43:54,2017-02-17T23:48:24,558.199,5.89747,525.38,559.39,581.39,614.06
2017-02-17T23:49:24,2017-02-17T23:53:54,2017-02-17T23:58:24,557.166,5.14707,525.38,559.39,581.39,614.06
2017-02-17T23:59:24,2017-02-18T00:01:42,2017-02-18T00:04:00,556.531,5.44129,525.38,559.39,581.39,614.06
2017-02-18T01:24:00,2017-02-18T01:24:30,2017-02-18T01:25:00,561.076,4.68219,525.38,559.39,581.39,614.06
2017-02-18T01:26:00,2017-02-18T01:30:00,2017-02-18T01:34:00,559.539,5.69835,525.38,559.39,581.39,614.06
2017-02-18T01:35:00,2017-02-18T01:40:00,2017-02-18T01:45:00,557.594,5.98428,525.38,559.39,581.39,614.06
2017-02-18T01:46:00,2017-02-18T01:48:00,2017-02-18T01:50:00,556.578,5.73884,525.38,559.39,581.39,614.06
2017-02-18T03:21:00,2017-02-18T03:21:00,2017-02-18T03:21:00,560.46,7.36726,525.38,559.39,581.39,614.06
2017-02-18T03:22:00,2017-02-18T03:26:30,2017-02-18T03:31:00,558.959,6.52479,525.38,559.39,581.39,614.06
2017-02-18T03:32:00,2017-02-18T03:34:00,2017-02-18T03:36:00,557.805,6.65199,525.38,559.39,581.39,614.06
2017-02-18T05:14:00,2017-02-18T05:15:30,2017-02-18T05:17:00,557.195,5.20735,525.38,559.39,581.39,614.06
2017-02-18T05:18:00,2017-02-18T05:20:00,2017-02-18T05:22:00,556.435,5.65716,525.38,559.39,581.39,614.06
2017-02-18T06:12:00,2017-02-18T06:12:30,2017-02-18T06:13:00,566.828,4.32647,525.38,559.39,581.39,614.06
2017-02-18T06:14:00,2017-02-18T06:14:30,2017-02-18T06:15:00,567.171,5.72196,525.38,559.39,581.39,614.06
2017-02-18T07:05:00,2017-02-18T07:06:30,2017-02-18T07:08:00,557.923,5.10527,525.38,559.39,581.39,614.06
2017-02-18T07:58:00,2017-02-18T07:58:30,2017-02-18T07:59:00,563.545,2.28187,525.38,559.39,581.39,614.06
2017-02-18T08:00:00,2017-02-18T08:04:30,2017-02-18T08:09:00,565.667,4.94642,525.38,559.39,581.39,614.06
2017-02-18T08:10:00,2017-02-18T08:10:30,2017-02-18T08:11:00,564.989,5.01514,525.38,559.39,581.39,614.06
2017-02-18T08:51:00,2017-02-18T08:53:00,2017-02-18T08:55:00,559.005,5.93747,525.38,559.39,581.39,614.06
2017-02-18T09:44:00,2017-02-18T09:45:00,2017-02-18T09:46:00,566.705,4.93355,525.38,559.39,581.39,614.06
2017-02-18T09:47:00,2017-02-18T09:51:30,2017-02-18T09:56:00,565.853,5.13252,525.38,559.39,581.39,614.06
2017-02-18T09:57:00,2017-02-18T10:00:00,2017-02-18T10:03:00,564.598,5.06927,525.38,559.39,581.39,614.06
2017-02-18T10:38:00,2017-02-18T10:39:30,2017-02-18T10:41:00,557.732,5.2218,525.38,559.39,581.39,614.06
2017-02-18T11:31:00,2017-02-18T11:31:30,2017-02-18T11:32:00,568.074,5.03624,525.38,559.39,581.39,614.06
2017-02-18T11:33:00,2017-02-18T11:37:30,2017-02-18T11:42:00,568.007,4.65807,525.38,559.39,581.39,614.06
2017-02-18T11:43:00,2017-02-18T11:47:30,2017-02-18T11:52:00,566.589,5.41714,525.38,559.39,581.39,614.06
2017-02-18T11:53:00,2017-02-18T11:54:00,2017-02-18T11:55:00,565.808,4.64048,525.38,559.39,581.39,614.06
2017-02-18T12:24:00,2017-02-18T12:25:30,2017-02-18T12:27:00,559.917,6.46445,525.38,559.39,581.39,614.06
2017-02-18T13:17:00,2017-02-18T13:17:30,2017-02-18T13:18:00,570.075,5.26556,525.38,559.39,581.39,614.06
2017-02-18T13:19:00,2017-02-18T13:23:30,2017-02-18T13:28:00,569.442,5.48128,525.38,559.39,581.39,614.06
2017-02-18T13:29:00,2017-02-18T13:33:30,2017-02-18T13:38:00,568.175,5.90275,525.38,559.39,581.39,614.06
2017-02-18T13:39:00,2017-02-18T13:42:30,2017-02-18T13:46:00,566.45,6.78435,525.38,559.39,581.39,614.06
2017-02-18T14:10:00,2017-02-18T14:11:30,2017-02-18T14:13:00,559.917,8.3126,525.38,559.39,581.39,614.06
2017-02-18T15:03:00,2017-02-18T15:03:30,2017-02-18T15:04:00,569.523,4.82742,525.38,559.39,581.39,614.06
2017-02-18T15:05:00,2017-02-18T15:10:00,2017-02-18T15:15:00,569.246,6.49786,525.38,559.39,581.39,614.06
2017-02-18T15:16:00,2017-02-18T15:20:00,2017-02-18T15:24:00,567.713,6.01294,525.38,559.39,581.39,614.06
2017-02-18T15:25:00,2017-02-18T15:29:30,2017-02-18T15:34:00,565.756,6.7865,525.38,559.39,581.39,614.06
2017-02-18T15:35:00,2017-02-18T15:36:00,2017-02-18T15:37:00,563.431,8.1583,525.38,559.39,581.39,614.06
2017-02-18T15:57:00,2017-02-18T15:58:00,2017-02-18T15:59:00,559.765,7.9104,525.38,559.39,581.39,614.06
2017-02-18T16:49:00,2017-02-18T16:50:00,2017-02-18T16:51:00,568.766,3.79524,525.38,559.39,581.39,614.06
2017-02-18T16:52:00,2017-02-18T16:56:00,2017-02-18T17:00:00,567.997,5.73986,525.38,559.39,581.39,614.06
2017-02-18T17:01:00,2017-02-18T17:06:00,2017-02-18T17:11:00,566.974,5.81278,525.38,559.39,581.39,614.06
